z,ObjID,cmodelMag_u,cmodelMag_r,ra,dec,absMagR
0.02384428,1237663277924941998,18.8982,17.92977,353.561715269569,0.485430225751949,-16.2509
0.02390522,1237661068189696019,18.56809,17.19996,185.481735415234,13.9064577631727,-18.1123
0.0239483,1237662239085559921,17.55478,16.38393,204.724853962996,10.6698419453326,-17.9188
0.02388475,1237663787962728727,19.24738,17.5575,139.67892203767,65.6931997680122,-20.0065
0.02400699,1237662528987791689,18.76018,17.72809,203.369962043278,13.4981668669368,-19.136
0.02384859,1237661070333050956,16.28924,14.68752,175.675358006196,15.3572968651452,-22.4547
0.02440693,1237655499740348566,18.23987,15.90289,208.555986117503,-1.46828083618155,-19.5626
0.02430194,1237653665793310771,19.75837,17.59288,144.446868559795,2.73595410309727,-19.1146
0.02397739,1237652934031442379,17.37796,16.18928,313.393089075383,-7.04760822120741,-18.6711
0.02427964,1237651272425406611,19.23796,17.52182,131.802955540035,54.8649015647117,-17.1316
0.0242866,1237650760246493259,17.19287,15.80278,187.853017085294,-3.66884307561311,-19.5639
0.02386893,1237648722843992100,16.69799,14.77497,186.020371924505,1.18979960200187,-21.0308
0.02401756,1237656241165566212,17.11841,15.07268,344.721739665198,13.3587385813255,-23.1885
0.02413867,1237651538720522352,17.42037,16.00484,226.527107371764,60.9293800433157,-18.3975
0.02396213,1237664338250170463,18.06052,15.64939,168.781438536028,36.4048983267625,-20.1348
0.02403773,1237663916808995029,16.19114,13.82364,135.578536138129,63.8055103892889,-22.7218
0.02393436,1237663457775583955,20.30503,18.78383,315.14938104779,0.0762011786229515,-16.1617
0.02402012,1237664338255282253,16.75617,14.89609,183.357026927368,37.6988712700788,-22.192
0.0238421,1237662223531507796,17.638,16.11805,187.621814956718,38.8214854875676,-18.0195
0.02399071,1237661974940221596,18.76,17.61194,193.440729732079,6.84446650496506,-16.791
0.02404325,1237661972802371724,18.20305,16.93394,199.360530098293,8.20303865547674,-17.9282
